Time	Treatment	EF	Richness
0	1	1.082668426	17.59409594
1	1	1.890930289	17.59409594
2	1	2.079967304	17.59409594
3	1	4.409155599	17.59409594
4	1	4.215616715	17.59409594
0	2	1.082668426	17.24883149
1	2	2.309894569	17.24883149
2	2	1.378671513	17.24883149
3	2	4.427370535	17.24883149
4	2	4.097198883	17.24883149
0	3	1.073540212	18.05760558
1	3	1.927380908	18.05760558
2	3	1.378671513	18.05760558
3	3	3.91735232	18.05760558
4	3	3.496126733	18.05760558
0	4	1.073560958	16.20232336
1	4	1.462879288	16.20232336
2	4	0.868653298	16.20232336
3	4	1.886386928	16.20232336
4	4	1.783943471	16.20232336
0	5	1.082668426	17.42189422
1	5	1.462900034	17.42189422
2	5	1.260274427	17.42189422
3	5	1.476550863	17.42189422
4	5	1.483397023	17.42189422
0	6	1.082668426	16.60097034
1	6	1.6723718	16.60097034
2	6	0.968876939	16.60097034
3	6	1.886366182	16.60097034
4	6	1.37408666	16.60097034
