Date	Days p.a.	Treatment	Replicate	DO	EF	Navicula	Epithemia	Volvox	Nitzschia 	Scenedesmus	Monoraphidium	Crucigenia	Closterium	Pediastrum	Trachelomonas	Tetraedron	Cosmarium	Euglena	Staurastrum	Gloecapsa	Oocystis	Anabaena	Ankistrodesmus	Scenedesmus.obliquus	Gomphosphaeria	Crucigenia.rectangularis	Kirchneriella
27/11/00	21	1	1	8.8	29.6	66	0	0	91	372	26755	0	0	66	74.5	58	50	25	25	17	0	0	0	0	0	0	0
27/11/00	21	1	2	8.8	29.6	615	82	41	369	2133	2830	1804	0	492	0	205	533	0	0	0	287	205	2338	0	0	164	0
27/11/00	21	1	3	8.7	9.472	0	0	76	114	1410	6976	76	0	267	0	305	0	0	0	0	267	0	0	0	0	0	0
27/11/00	21	1	4	8.2	34.336	82	0	41	288	411	10844	164	0	82	0	123	0	0	41	0	0	0	0	0	0	0	0
27/11/00	21	2	1	8.3	23.68	3326	1039	416	1455	4572	9561	1247	624	3741	2286	416	1247	0	0	0	0	0	0	0	0	0	0
27/11/00	21	2	2	8.7	28.416	443	0	0	89	1685	2128	1242	0	1508	0	621	89	0	89	0	1153	266	0	0	0	0	177
27/11/00	21	3	1	8.8	23.68	469.56	117.39	195.65	352.17	978.25	13421.59	117.39	0	860.86	0	156.52	0	0	39.13	0	39.13	391.3	39.13	0	0	0	0
27/11/00	21	3	2	7.9	34.336	138	0	138	323	968	5576	46	0	461	0	230	0	0	46	0	46	46	0	0	0	0	0
27/11/00	21	4	1	7.7	3.552	1662	43	128	426	256	128	43	0	128	0	85	43	0	0	0	0	128	0	0	43	0	0
27/11/00	21	4	2	7.6	2.368	2319	124	31	155	216	247	0	0	62	0	155	0	0	31	0	0	93	0	0	0	0	31
27/11/00	21	5	1	7.1	0	4420	940	5314	141	282	235	141	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27/11/00	21	5	2	7.3	0	5679	394	276	552	197	118	0	97	0	0	118	0	0	39	0	0	0	0	79	0	0	0
