Date	Days p.a.	Treatment	Replicate	EF	Scenedesmus maximus	Scenedesmus aristatus	Scenedesmus opoliensis	Scenedesmus dimorphus	Scenedesmus quadricauda	Scenedesmus quadrispina	Scenedesmus javanensis	Scenedesmus dispar	Scenedesmus bicaudatus	Scenedesmus denticulatus	Scenedesmus denticulatus var. linearis	Scenedesmus bijuga	Scenedesmus ovalternus	Pediastrum tetras	Pediastrum duplex	Pediastrum simplex	Coelastrum sphaericum	Coelastrum cambricum	Coelastrum sphaericum	Coelastrum astroideum	Coelastrum microporum	Tetraedron caudatum	Tetraedron minimum	Cosmarium sp	Stigeoclonium sp	Gloeocapsa sp	Hydrodictyon sp	Schoederia sp	Euglena pisciformis	Phacus longispina	Phormidium mucicola	Oscillatoria limnetica	Oscillatoria tenius	Spirulina subsalsa	Chamaesiphon sp	Chroococcus limeticus	Anabaena sp	Gloeotrichia sp	Aphanocapsa sp	Merismopedia tenuissima	Cocconeis sp	Cyclotella sp	Nitzschia palea	Nitzschia amphibia	Gomphonema sp	Gomphonema parvulum
25/2/2005	-4	1	1	22.792	0	0	0	0	172.5	0	0	345	115	0	0	230	0	345	0	0	115	57.5	0	0	0	0	0	57.5	0	57.5	115	0	0	0	57.5	287.5	0	172.5	17250	172.5	0	0	0	0	57.5	57.5	345	0	0	0
25/2/2005	-4	1	2	28.416	0	0	0	0	0	0	0	0	0	0	0	62.5	0	250	0	0	0	0	0	0	62.5	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	750	0	0	312.5
25/2/2005	-4	1	3	39.664	0	0	0	0	0	0	0	0	0	0	0	900	0	560	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	540	0	0	0
25/2/2005	-4	1	4	95.904	0	0	0	120	0	0	240	0	0	0	60	180	0	720	0	0	0	60	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	120	1020	360	120	3420
25/2/2005	-4	2	1	44.992	57.5	57.5	57.5	57.5	115	0	0	0	115	0	57.5	805	0	575	0	0	0	0	57.5	0	0	57.5	0	0	0	0	115	0	0	0	0	57.5	57.5	0	1207.5	0	0	0	0	0	0	0	57.5	57.5	57.5	575
25/2/2005	-4	2	2	133.2	0	0	0	0	0	0	0	0	0	0	0	0	0	312.5	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15062.5	0	0	0	0	0	0	0	1937.5	0	0	0
25/2/2005	-4	3	1	67.488	120	0	0	60	180	60	60	60	60	120	0	1020	0	780	0	0	0	0	0	180	60	0	0	0	0	0	0	0	0	0	180	0	0	60	600	60	0	0	0	0	60	60	900	180	0	1980
25/2/2005	-4	3	2	44.992	0	0	0	0	0	0	0	0	240	0	0	0	0	420	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	5160	0	0	0	0	0	0	0	1500	0	60	0
25/2/2005	-4	4	1	29.6	0	0	0	0	60	0	0	0	0	0	0	840	0	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	6060	0	0	0	0	0	0	0	840	0	0	60
25/2/2005	-4	4	2	27.232	0	0	0	120	0	0	0	0	0	60	120	240	60	480	60	60	0	0	0	0	0	60	0	0	0	0	60	0	0	0	0	60	0	120	180	0	60	0	0	0	60	0	780	0	0	180
25/2/2005	-4	5	1	8.88	0	0	0	0	0	0	0	0	0	0	0	165	0	165	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	55	0	1100	0	0	0	0	0	0	55	330	0	0	0
25/2/2005	-4	5	2	49.136	0	0	0	0	230	0	0	172.5	0	0	0	1035	0	862.5	0	0	0	0	0	57.5	0	0	57.5	0	0	0	0	0	0	0	0	0	0	0	8855	0	0	0	0	0	0	0	1840	57.5	0	345
14/3/2005	13	1	1	11.84	0	0	0	0	30.3125	0	0	0	0	0	0	0	0	30.3125	0	0	0	0	0	0	0	0	0	0	90.9375	0	0	0	90.9375	0	0	60.625	0	0	54584.0625	0	30.3125	0	0	0	0	0	0	0	1818.75	30.3125
14/3/2005	13	1	2	23.68	0	0	0	0	0	0	0	0	0	0	0	0	0	167.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.875	0	0	33.4375	0	0	196558.875	0	0	0	0	0	0	0	0	0	33.4375	0
