Date	Days p.a.	Treatment	Replicate	DO	EF	Scenedesmus maximus	Scenedesmus aristatus	Scenedesmus tropicus	Scenedesmus perforatus	Scenedesmus opoliensis	Scenedesmus quadricauda	Scenedesmus quadrispina	Scenedesmus dispar	Scenedesmus bicaudatus	Scenedesmus denticulatus	Scenedesmus denticulatus var linearis	Scenedesmus bijuga	Scenedesmus dimorphus	Scenedesmus longispina	Scenedesmus obliquus	Scenedesmus bernardii	Pediastrum tetras	Pediastrum duplex	Pediastrum simplex	Coelastrum cambricum	Coelastrum astroideum	Coelastrum sphaericum	Coelastrum reticulatum	Coelastrum microporum	Sphaerocystis shroeteri	Schizochlamys sp	Oocystis borgei	Oocystis pusilla	Oocystis lacustris	Oocystis elliptica	Oocystis rupestris	Tetraedron caudatum	Tetraedron minimum	Tetraedron trigonium	Staurastrum sexangulare	Staurastrum sp	Botryococcus braunnii	Elakatothrix gelatinosa	Micractinium pusillum	Kirchneriella obesa	Schroederia sp	Sphaerocystis schoeteri	Ankistrodesmus falcatus	Ankistrodesmus nannoselene	Monoraphidium sp	Golenkinia radiata	Chroococcus dispersus	Chroococcus dispersus var minor	Chroococcus limneticus	Spirulina laxissima	Gomphosphaeria sp	Pseudoanabaena limnetica	Merismopedia minima	Merismopedia tenuissima	Phormidium mucicola	Oscillatoria tenius	Oscillatoria limnetica	Coelosphaerium sp	Microcystis incerta	Microcystis aeruginosa	Nitzschia palea	Nitzschia amphibia	Cocconeis sp	Gomphonema parvulum	Amphora sp	Surirella tenera	Frustulia sp	Cyclotella sp	Chilomonas paramecium	Cryptomonas ovata	Cryptomonas pyrenoidifera	Mallomonas spp	Mallomonas caudata	Campilomonas spp	Chroomonas acuta	Phacus longispina	Cosmarium sp
21/02/05	-8	1	1	NA	20.128	4600	4600	0	0	0	23000	2300	55200	16100	2300	0	0	0	0	0	0	2300	2300	0	16100	0	0	0	0	9200	2300	0	0	0	0	0	2300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220800	4600	0	2300	2300	0	0	0	0	0	0	0	690000	1782500	16100	0	0	0	0	0	0	0	6900	0	0	0	0	0	0	0	0
21/02/05	-8	1	2	NA	13.024	0	0	0	0	0	8185.714286	2728.571429	8185.714286	8185.714286	2728.571429	8185.714286	2728.571429	0	0	0	0	13642.85714	2728.571429	0	0	0	2728.571429	2728.571429	0	0	0	0	2728.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8185.714286	0	0	0	0	0	0	0	0	13642.85714	0	0	16371.42857	0	0	0	0	0	0	0	2728.571429	0	0	0	0	0
21/02/05	-8	1	3	NA	2.368	2585.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2585.714286	0	0	0	0	5171.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5171.428571	0	0	2585.714286	0	0	0	0	0	15514.28571	0	2585.714286	0	0	0	0	0	7757.142857	0	0	0	0	0	0	0	0
21/02/05	-8	1	4	NA	NA	0	0	0	0	0	0	0	0	0	0	3014.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9042.857143	0	0	6028.571429	0	0	0	6028.571429	0	3014.285714	0	0	0	3014.285714	0	0	0
21/02/05	-8	2	1	NA	28.416	5800	0	2900	0	0	5800	2900	2900	0	0	0	0	0	0	0	0	2900	0	0	0	0	0	0	0	0	2900	0	0	0	0	0	0	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	298700	8700	0	0	20300	5800	0	0	0	0	0	0	3625000	4930000	17400	0	0	0	0	0	0	8700	26100	0	0	0	0	0	0	0	0
21/02/05	-8	2	2	NA	21.312	0	2728.571429	0	0	2728.571429	0	0	0	10914.28571	0	2728.571429	0	0	0	0	0	5457.142857	0	0	0	0	2728.571429	0	5457.142857	0	0	0	0	0	0	0	5457.142857	5457.142857	0	2728.571429	0	0	0	0	0	0	0	0	0	0	0	120057.1429	8185.714286	0	0	0	0	0	0	2728.571429	0	0	2728.571429	3001428.571	1705357.143	30014.28571	0	0	2728.571429	0	2728.571429	0	5457.142857	13642.85714	0	0	2728.571429	0	0	0	0	0
21/02/05	-8	3	1	NA	4.736	0	0	0	0	0	2585.714286	0	2585.714286	2585.714286	2585.714286	5171.428571	0	0	0	0	0	2585.714286	0	0	0	0	2585.714286	0	0	0	0	0	0	0	0	0	0	5171.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	54300	15514.28571	0	0	0	2585.714286	0	2585.714286	2585.714286	0	0	0	775714.2857	258571.4286	10342.85714	0	2585.714286	12928.57143	5171.428571	0	0	5171.428571	5171.428571	0	0	0	0	0	0	0	0
21/02/05	-8	3	2	NA	8.288	0	0	0	0	0	0	0	0	2585.714286	0	0	0	0	0	0	0	2585.714286	0	0	0	5171.428571	2585.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103428.5714	0	0	0	0	0	0	0	0	0	0	0	0	0	10342.85714	0	0	0	0	0	0	0	0	0	15514.28571	2585.714286	0	0	0	0	0	2585.714286	2585.714286	0	0	0	0	0	0	0	0
21/02/05	-8	4	1	NA	21.312	3300	0	0	0	6600	0	0	0	42900	0	3300	0	0	0	0	0	9900	0	0	0	3300	0	0	0	13200	6600	0	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198000	6600	3300	0	0	0	29700	0	0	3300	0	0	4125000	3712500	19800	0	13200	6600	0	0	0	9900	6600	3300	0	3300	0	0	0	0	0
21/02/05	-8	4	2	NA	NA	0	0	0	0	0	0	3014.285714	3014.285714	6028.571429	3014.285714	9042.857143	0	3014.285714	0	0	0	12057.14286	0	0	0	0	6028.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3014.285714	0	0	0	0	0	0	0	0	18085.71429	0	9042.857143	15071.42857	0	0	0	6028.571429	3014.285714	0	0	0	0	0	0	0	0
