Mesocosm	   Week	Treatment	EF	Replicate	Cocc	Acmi	Gomp	Epze	Cogt	Cokt	Chls	Diat
2	-3	1	5.410443078	a	0	1068.55	13.84	0	1.35	7.77	70.44	1082.39
4	-3	1	5.410443078	b	2.52	1373.58	226.42	0	0.81	9.12	37.74	1602.52
6	-3	2	5.491192837	a	1.26	622.01	8.18	0	0.15	9.85	69.81	631.45
12	-3	2	5.491192837	b	0	1781.13	6.29	0	0.15	8.31	60.38	1787.42
5	-3	3	10.41054768	a	0	536.48	93.08	0	0.35	6.12	108.81	629.56
10	-3	3	10.41054768	b	0.63	1250.31	448.43	0	0.12	7.54	111.95	1699.37
1	-3	4	12.0235555	a	0	2924.53	100.63	0.12	0.88	8.08	33.96	3025.27
7	-3	4	12.0235555	b	2.52	742.14	486.16	0.04	0.23	10.15	64.15	1230.86
3	-3	5	8.716999289	a	0	1327.67	19.5	0	2	14	228.93	1347.17
8	-3	5	8.716999289	b	1.89	1169.81	33.33	0.08	0.65	6.65	133.33	1205.11
2	-1	1	10.82099075	a	6.29	1604.4	120.13	0	0.88	7.35	43.4	1730.82
4	-1	1	10.82099075	b	5.03	1587.42	39.62	0	1.15	6.15	30.82	1632.08
6	-1	2	10.90174051	a	1.26	940.88	22.01	0	0.08	9.96	45.91	964.15
12	-1	2	10.90174051	b	0.63	3480.5	13.84	0	0.77	8.08	54.09	3494.97
5	-1	3	11.38561148	a	1.89	1280.5	152.83	0.04	0.08	3.65	94.97	1435.26
10	-1	3	11.38561148	b	0	2885.53	193.71	0.19	0.65	9.92	123.9	3079.44
1	-1	4	22.5952889	a	0	1905.66	113.21	0	0.31	8.46	32.7	2018.87
7	-1	4	22.5952889	b	1.26	986.79	473.58	0.15	0.04	7.81	74.21	1461.79
3	-1	5	25.82119995	a	0	1576.1	59.75	0	0.08	3.96	64.78	1635.85
8	-1	5	25.82119995	b	1.26	3153.46	10.06	0.12	0.38	6.04	76.1	3164.9
2	0	1	4.857014351	a	1.89	1386.79	127.67	0.12	0.92	4.04	91.82	1516.47
4	0	1	4.857014351	b	5.03	1437.74	33.33	0	0.42	2.85	18.87	1476.1
6	0	2	11.38927242	a	4.4	520.13	46.54	0.08	0.38	2	56.6	571.15
12	0	2	11.38927242	b	3.77	1231.45	23.9	0.04	1.38	4.62	82.39	1259.16
5	0	3	6.066587172	a	0.63	1388.68	363.52	0.15	0.31	6.81	84.28	1752.98
10	0	3	6.066587172	b	0.63	1444.65	98.11	0	0.15	7.88	32.7	1543.4
1	0	4	13.88937701	a	0	1459.12	138.36	0.04	0.54	5.77	27.04	1597.52
7	0	4	13.88937701	b	1.26	790.57	545.28	0.08	0.42	5.5	83.65	1337.18
3	0	5	9.292393624	a	1.89	1000.63	88.68	0.12	0.38	7.5	122.64	1091.31
8	0	5	9.292393624	b	0.63	1688.05	51.57	0	0.46	7.08	99.37	1740.25
2	1	1	3.731538429	a	8.81	2200	400	0	1.04	2.35	20.75	2608.81
4	1	1	3.731538429	b	18.87	700.63	50.94	0	0.88	2.81	6.92	770.44
6	1	2	4.134868834	a	54.09	374.84	6.29	0	0.73	1.27	22.64	435.22
12	1	2	4.134868834	b	4.4	379.25	6.29	0	1.35	2.69	18.87	389.94
5	1	3	4.215513995	a	1.89	2133.33	514.47	0.04	0.19	2.35	55.35	2649.72
10	1	3	4.215513995	b	3.14	630.19	129.56	0	0.5	2.38	8.18	762.89
1	1	4	9.215513995	a	2.52	1484.28	182.39	0	0.65	1.92	10.69	1669.18
7	1	4	9.215513995	b	3.14	171.7	802.52	0	0.77	5.85	122.64	977.36
3	1	5	5.344441655	a	0	1924.53	52.2	0	0.23	8.62	140.88	1976.73
8	1	5	5.344441655	b	3.77	516.98	105.66	0	0.35	8.04	49.06	626.42
2	2	1	1.880465252	a	3.14	2144.65	210.69	0.23	0.12	4.19	25.16	2358.72
4	2	1	1.880465252	b	6.29	2140.88	59.12	0.08	0.88	2.88	6.92	2206.37
6	2	2	3.412827915	a	42.77	906.92	45.28	0	0.35	1.27	12.58	994.97
12	2	2	3.412827915	b	3.14	2837.11	32.08	0	0.58	4.73	20.75	2872.33
5	2	3	4.299924689	a	0	2669.81	296.86	0	0.88	3.62	49.06	2966.67
10	2	3	4.299924689	b	2.52	501.89	9.43	0	0.15	0.46	9.43	513.84
1	2	4	3.654763399	a	2.52	2622.64	138.36	0	0.31	5.38	11.95	2763.52
7	2	4	3.654763399	b	2.52	1840.25	241.51	0	0.81	3.04	8.81	2084.28
3	2	5	5.348207188	a	0	1128.3	43.4	0.12	0.85	4.69	76.73	1171.81
8	2	5	5.348207188	b	4.4	944.03	17.61	0	0.96	7	30.82	966.04
2	3	1	1.238964897	a	3.14	1121.38	118.87	0	0.27	3.35	14.47	1243.4
4	3	1	1.238964897	b	6.92	1393.71	15.72	0.12	0.15	1.62	5.03	1416.47
6	3	2	2.368101753	a	49.06	163.52	3.77	0	0.15	0.85	9.43	216.35
12	3	2	2.368101753	b	9.43	1011.32	47.8	0	0.58	1.85	6.29	1068.55
5	3	3	1.884126187	a	0	2181.13	351.57	0	0.46	2.85	14.47	2532.7
10	3	3	1.884126187	b	10.06	789.94	23.9	0	0.08	0.19	6.92	823.9
1	3	4	1.400255219	a	0.63	1364.78	415.09	0	1.08	4.62	8.18	1780.5
7	3	4	1.400255219	b	7.55	505.66	196.86	0	0.85	4	8.81	710.06
3	3	5	3.416279654	a	0	2732.08	70.44	0.08	0.23	1.92	31.45	2802.59
8	3	5	3.416279654	b	1.26	511.32	0.63	0.04	0.35	0.92	16.35	513.25
2	4	1	1.403811556	a	0.63	1721.38	147.17	0.08	0.12	1.27	25.79	1869.26
4	4	1	1.403811556	b	3.14	1098.11	111.32	0	0.04	1.65	13.21	1212.58
6	4	2	1.64574704	a	14.47	1282.39	70.44	0	0.31	2.65	6.92	1367.3
12	4	2	1.64574704	b	32.7	3201.26	366.04	0.12	0.12	4.62	31.45	3600.12
5	4	3	2.774883896	a	0	1514.47	337.74	0	0.15	1.69	23.9	1852.2
10	4	3	2.774883896	b	6.29	794.34	13.84	0	0.12	0.42	3.77	814.47
1	4	4	3.903706958	a	5.66	1849.06	547.17	0	0.62	3.85	2.52	2401.89
7	4	4	3.903706958	b	4.4	679.25	245.28	0	0.04	0.42	7.55	928.93
3	4	5	4.952303251	a	0	1343.4	61.64	0	0.35	3.35	54.72	1405.03
8	4	5	4.952303251	b	1.89	215.09	0	0	0.12	0.38	7.55	216.98
2	5	1	3.101020878	a	2.52	1450.31	235.22	0.08	0.08	1	13.84	1688.13
4	5	1	3.101020878	b	2.52	701.26	33.33	0	0	0.5	26.42	737.11
6	5	2	1.649617171	a	28.3	738.36	49.06	0	0.12	1.88	7.55	815.72
12	5	2	1.649617171	b	12.58	2008.18	357.86	0	0.23	2.92	19.5	2378.62
5	5	3	1.891552655	a	1.89	899.37	96.23	0	0	0.92	8.18	997.48
10	5	3	1.891552655	b	1.26	712.58	32.7	0	0.15	1.54	6.29	746.54
1	5	4	3.020375716	a	7.55	150.94	132.08	0	0.27	0.5	6.29	290.57
7	5	4	3.020375716	b	8.18	457.23	123.27	0	0	0.42	15.72	588.68
3	5	5	5.842956362	a	0	1659.12	38.99	0	0.08	3.46	56.6	1698.11
8	5	5	5.842956362	b	10.69	1007.55	11.32	0.08	0.31	1.92	6.92	1029.64
2	6	1	3.185222376	a	1.89	551.57	115.72	0.04	0	0.69	5.03	669.22
4	6	1	3.185222376	b	2.52	467.92	42.14	0	0	0.12	10.06	512.58
6	6	2	2.298334798	a	10.69	366.04	8.18	0	0	0.27	2.52	384.91
12	6	2	2.298334798	b	6.29	276.1	198.11	0	0.19	2.58	17.61	480.5
5	6	3	2.782101167	a	0.63	1580.5	94.34	0	0	1.31	8.18	1675.47
10	6	3	2.782101167	b	0	461.64	8.81	0	0.08	0.69	5.03	470.44
1	6	4	0.846617296	a	28.3	245.28	38.99	0	0.12	0.46	5.03	312.58
7	6	4	0.846617296	b	3.14	700.63	83.65	0	0.04	0.42	7.55	787.42
3	6	5	1.572423748	a	0	928.3	9.43	0	0	1.5	24.53	937.74
8	6	5	1.572423748	b	13.21	718.87	39.62	0.19	0.19	4.19	5.03	771.89
2	7	1	3.511568554	a	2.52	352.2	494.34	0	0	0.35	6.92	849.06
4	7	1	3.511568554	b	1.89	673.58	26.42	0	0	0.27	5.66	701.89
6	7	2	3.753504037	a	23.9	945.91	26.42	0.42	0	0.58	5.66	996.65
12	7	2	3.753504037	b	17.61	600	39.62	0.19	0.15	2.54	8.18	657.43
5	7	3	3.753504037	a	5.66	2664.15	205.66	0	0.08	1	4.4	2875.47
10	7	3	3.753504037	b	1.89	882.39	117.61	0.08	0.38	3.04	15.09	1001.96
1	7	4	2.624576378	a	62.26	452.83	94.34	0.04	0.12	1	8.81	609.47
7	7	4	2.624576378	b	8.18	1563.52	94.97	0	0.15	0.35	16.35	1666.67
3	7	5	3.027802184	a	1.89	1500.63	25.79	0.08	0.04	0.85	13.84	1528.38
8	7	5	3.027802184	b	18.24	944.03	14.47	0.23	0.27	7.85	5.66	976.96
2	8	1	NA	a	4.4	404.4	183.02	0	0	0.54	13.84	591.82
4	8	1	NA	b	11.32	2135.85	13.21	0.12	0	1.08	17.61	2160.49
6	8	2	NA	a	4.4	760.38	6.29	0.31	0	0.12	6.29	771.38
12	8	2	NA	b	22.64	62.26	30.19	0.62	0.04	2.54	8.18	115.71
5	8	3	NA	a	2.52	2661.64	30.19	0.04	0.19	2.69	4.4	2694.38
10	8	3	NA	b	1.89	862.26	54.09	0.04	0	13.81	0.63	918.28
1	8	4	NA	a	16.35	339.62	43.4	0.04	0	0.42	5.03	399.41
7	8	4	NA	b	5.66	2322.01	44.65	0	0.04	3.35	11.32	2372.33
3	8	5	NA	a	1.89	1750.94	96.86	0	0.77	3.92	64.15	1849.69
8	8	5	NA	b	12.58	603.14	36.48	0.35	0.08	8.69	15.09	652.55
2	9	1	NA	a	3.77	904.4	294.97	0.15	0	1.15	30.82	1203.3
4	9	1	NA	b	21.38	2518.24	45.91	0	0.08	2.42	7.55	2585.53
6	9	2	NA	a	21.38	747.17	7.55	0.19	0	0.54	27.04	776.29
12	9	2	NA	b	23.9	144.65	81.76	1.46	0.19	2.81	12.58	251.78
5	9	3	NA	a	11.32	2976.1	69.81	0	0.12	4.73	2.52	3057.23
10	9	3	NA	b	1.89	1542.14	67.3	0.5	0.04	7.62	8.18	1611.82
1	9	4	NA	a	18.24	257.86	125.79	0.19	0.04	0.5	5.03	402.08
7	9	4	NA	b	3.77	3791.19	61.01	0	0.42	4.38	27.04	3855.97
3	9	5	NA	a	3.14	1769.18	43.4	0	0.12	2.5	40.88	1815.72
8	9	5	NA	b	23.27	1239.62	60.38	0.81	0.23	1.62	25.79	1324.08
2	10	1	3.280615874	a	5.03	233.96	91.19	1.65	0.12	1.85	21.38	331.84
4	10	1	3.280615874	b	20.75	1959.75	71.07	0.04	0	3.54	6.92	2051.61
6	10	2	1.748357809	a	29.56	576.1	30.82	0.31	0	1.31	38.36	636.79
