Week	Treatment	Replicate	EF	Stephanodiscus sp_Cyclotella sp.	Diatoma sp._single cell	Diatoma sp._colony	Synedra sp.	Navicula sp.	Nitschia sp.	Melosira sp.	"Gomphonema sp,"	Cocconeis sp.	Cymatopleura sp.	Pinnularia sp.	Gyrosigma sp.	Chlamydomonas sp.	Monoraphidium sp.	Selenastrum sp.	Scenedesmus spˆ.	Chodatella sp.	Chroomonas sp.	Cryptomonas sp.	Anabaena sp.
-1	1	1	12	4.359	1.665	0	1.665	2.259	1.665	0	0	1.665	0	0	0	3.678	1.665	0	0	0	0	0	0
-1	1	2	12	4.111	0	0	2.259	1.665	0	0	0	2.259	1.665	0	0	3.434	0	0	0	0	0	0	2.259
-1	2	1	12	4.412	1.665	0	0	2.259	0	0	0	2.259	0	0	0	4.302	0	0	0	0	0	0	1.665
-1	2	2	12	3.564	0	0	0	2.629	1.665	0	1.665	0	2.629	0	0	3.11	0	1.665	0	0	0	0	1.665
-1	3	1	21	4.359	0	0	3.11	2.898	2.259	0	0	1.665	0	0	0	2.629	2.629	0	0	0	0	0	1.665
-1	3	2	24	4.989	0	0	1.665	2.259	0	0	0	1.665	0	0	0	5.289	1.665	0	0	0	0	0	2.259
-1	4	1	33	5.045	1.665	0	3.285	0	2.629	0	0	2.259	0	0	0	4.179	1.665	0	2.629	0	0	0	0
-1	4	2	6	2.898	2.259	0	0	1.665	0	0	0	0	0	0	0	3.11	0	1.665	0	0	0	0	0
-1	5	1	18	3.285	1.665	0	2.259	0	2.898	0	0	1.665	0	0	0	2.629	1.665	0	0	0	0	0	0
-1	5	2	9	3.96	0	0	0	0	0	0	0	2.259	0	0	0	4.412	2.259	0	0	0	0	1.665	1.665
-1	6	1	12	3.434	0	0	2.629	1.665	2.898	0	0	1.665	0	0	0	3.781	0	0	0	0	0	0	0
-1	6	2	15	4.179	0	0	1.665	0	2.259	0	0	0	0	0	0	3.96	1.665	0	0	0	0	0	0
0.1	1	1	NA	3.285	2.005	0	2.005	3.918	2.461	0	0	2.005	0	0	0	2.773	1.145	0	0	0	0	2.005	0
0.1	1	2	NA	3.829	1.665	0	3.622	2.773	3.434	0	1.145	0	0	0	0	3.96	2.461	0	0	0	0	1.144	2.259
0.1	2	1	NA	3.01	1.145	0	2.461	3.01	2.898	0	0	1.665	1.145	0	0	3.829	2.005	0	1.145	0	0	0	0
0.1	2	2	NA	3.781	1.665	0	2.629	3.678	2.259	0	1.665	2.629	0	0	0	4.463	4.831	0	2.259	0	0	0	0
0.1	3	1	NA	1.665	0	0	1.665	2.259	2.259	0	0	0	0	0	0	2.259	0	0	0	0	0	0	0
0.1	3	2	NA	2.898	0	0	2.259	2.629	0	0	1.665	2.629	0	0	0	3.564	1.665	1.665	0	0	0	0	0
0.1	4	1	NA	4.601	0	0	4.242	3.564	2.259	0	0	0	2.259	0	0	4.897	4.557	2.259	2.259	0	0	2.259	2.259
0.1	4	2	NA	2.898	1.665	0	1.665	3.434	2.898	0	2.629	1.665	1.665	0	0	4.463	0	0	0	0	0	1.665	0
0.1	5	1	NA	3.11	2.259	0	2.259	3.11	2.259	0	1.665	0	0	0	0	3.434	0	0	0	0	0	0	1.665
0.1	5	2	NA	2.773	2.005	1.145	2.005	3.434	1.665	1.145	0	2.005	1.665	0	0	3.362	1.145	0	0	0	0	1.665	0
0.1	6	1	NA	2.898	0	0	1.665	2.259	2.005	0	0	2.259	1.145	1.145	1.145	4.386	0	0	0	0	0	0	2.461
0.1	6	2	NA	3.11	0	0	2.629	4.111	1.665	0	0	2.898	1.665	0	0	4.359	0	0	0	0	0	0	1.665
1	1	1	27	2.259	0	0	2.629	1.665	2.629	0	0	1.665	0	0	0	3.781	2.898	0	0	0	0	0	0
1	1	2	24	3.874	1.665	0	2.259	0	3.434	0	0	0	1.665	0	0	3.564	4.038	0	0	0	1.665	2.259	2.629
1	2	1	36	2.898	1.665	0	2.629	0	0	0	0	1.665	0	0	0	4.242	2.629	0	0	0	3.285	2.629	0
1	2	2	59	4.111	1.665	0	4.796	1.665	1.665	0	0	0	1.665	0	0	4.412	4.684	0	1.665	0	0	2.898	0
1	3	1	15	2.259	0	0	0	0	0	0	0	0	0	0	0	2.898	0	0	0	0	0	0	0
1	3	2	33	3.11	0	0	2.898	0	0	0	0	2.259	1.665	0	0	3.11	2.259	0	0	0	0	0	0
1	4	1	124	5.017	0	0	5.289	1.665	1.665	0	0	0	1.665	0	0	4.111	4.684	1.665	2.629	2.259	1.665	2.629	0
1	4	2	36	3.434	0	0	2.259	0	0	0	0	1.665	1.665	0	0	3.781	2.629	0	0	0	0	0	0
1	5	1	18	4.111	0	0	1.665	0	0	0	0	0	0	0	0	3.285	1.665	0	0	0	0	0	0
1	5	2	33	3.678	0	0	0	0	0	0	0	2.629	1.665	0	0	3.96	2.898	1.665	1.665	0	3.285	0	0
1	6	1	12	2.259	0	0	0	2.259	2.259	0	0	0	1.665	0	0	3.434	0	1.665	0	0	2.898	1.665	1.665
1	6	2	15	3.874	0	0	0	2.629	0	0	0	1.665	0	0	0	3.285	1.665	0	0	0	1.665	0	1.665
