Date	Day	week	Locatie	Treatment	replica	EF	Aphanocapsa	Oscillatoria	Anabaena	Gomphosphaeria	Merismopedia	Phormidium	Chrysococcus	Monas	Kephyrion	Achnanthes	Caloneis_silicula	Cocconeis	Cyclotella	Cymatopleura	Cymbella	Diatomeen_penales	Epithemia	Gomphonema	Gyrosigma	Pinnularia	Melosira	Phacus	Euglena	Trachelomonas	Gymnodinium	Cryptomonas	Chroomonas	Pteromonas	Ankyra	Characium	Monoraphidium	Coelastrum	Chlorococcum	Crucigenia	Dictyosphaerium	Micractinium	Scenedesmus	Pediastrum	Pandorina	Tetraedron	Tetrastrum	Oocystis	Closterium	Cosmarium	Staurastrum
06/06/01	-10	-2	cosm6	3	1	NA	0	0	0	0	0	2320.185615	4640.37123	0	0	4640.37123	0	0	0	0	0	18561.48492	0	0	0	0	0	0	0	2320.185615	0	1141531.323	0	0	0	0	0	0	0	0	2320.185615	0	13921.11369	0	0	0	0	2320.185615	0	0	0
06/06/01	-10	-2	cosm7	1	1	NA	0	0	0	0	0	0	0	0	0	2320.185615	0	0	0	0	0	27842.22738	0	2320.185615	4640.37123	6960.556845	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0	0	0	2320.185615	0	0	0	0	0	0	0	0
06/06/01	-10	-2	cosm8	4	1	NA	0	0	0	0	0	0	1160.092807	0	0	0	0	1160.092807	0	0	1160.092807	3480.278422	2320.185615	2320.185615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160.092807	0	0	0	0	0	0	0	0
06/06/01	-10	-2	cosm9	2	1	NA	0	2320.185615	0	0	0	0	0	2320.185615	0	0	0	2320.185615	0	0	0	39443.15545	6960.556845	2320.185615	2320.185615	0	0	0	0	0	0	0	6960.556845	0	0	0	2320.185615	0	0	0	0	0	2320.185615	0	0	0	0	2320.185615	0	0	2320.185615
06/06/01	-10	-2	cosm10	5	1	NA	0	0	0	0	0	0	2320.185615	0	0	4640.37123	0	0	0	0	4640.37123	53364.26914	2320.185615	9280.742459	9280.742459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2320.185615	0	0	2320.185615
06/06/01	-10	-2	cosm16	5	2	NA	0	2320.185615	0	0	0	0	0	454756.3805	0	0	0	2320.185615	0	0	0	34802.78422	0	0	0	0	0	0	0	0	0	2320.185615	0	0	0	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0
06/06/01	-10	-2	cosm17	3	2	NA	0	2320.185615	0	0	2320.185615	0	0	185614.8492	4640.37123	0	0	0	0	0	0	16241.2993	0	2320.185615	4640.37123	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06/06/01	-10	-2	cosm18	4	2	NA	0	0	0	0	0	0	0	865429.2343	0	0	0	2320.185615	0	0	0	16241.2993	2320.185615	4640.37123	0	0	0	0	0	0	0	2320.185615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06/06/01	-10	-2	cosm19	2	2	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25522.04176	0	0	4640.37123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0
06/06/01	-10	-2	cosm20	1	2	NA	0	0	0	0	0	0	0	25522.04176	0	4640.37123	0	6960.556845	0	0	4640.37123	41763.34107	0	0	2320.185615	0	0	0	2320.185615	4640.37123	0	2320.185615	2320.185615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13/06/01	-3	-1	cosm6	3	1	NA	0	0	0	0	0	0	0	0	27842.22738	0	0	9280.742459	0	0	0	64965.19722	0	0	0	0	0	0	9280.742459	0	0	157772.6218	46403.7123	0	9280.742459	0	120649.652	0	0	0	74245.93968	0	74245.93968	0	0	0	0	27842.22738	0	0	0
13/06/01	-3	-1	cosm7	1	1	NA	1624129.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2320.185615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13/06/01	-3	-1	cosm8	4	1	NA	25522.04176	0	0	0	0	0	0	53364.26914	0	0	0	4640.37123	0	0	0	23201.85615	0	0	0	0	0	0	0	0	0	0	2320.185615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13/06/01	-3	-1	cosm9	2	1	NA	290023.2019	0	0	0	0	0	0	23201.85615	0	0	0	0	0	0	0	2320.185615	2320.185615	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0	0	0	0	0	0
13/06/01	-3	-1	cosm10	5	1	NA	0	0	0	0	0	0	0	88167.05336	0	0	0	4640.37123	0	0	0	9280.742459	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0	0	0	13921.11369	0	0	0	0	0	0	4640.37123	0	0	0
13/06/01	-3	-1	cosm16	5	2	NA	30162.41299	0	0	0	0	0	0	0	0	0	0	2320.185615	0	0	0	2320.185615	2320.185615	2320.185615	0	0	0	2320.185615	2320.185615	0	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	0	0	0	0	2320.185615	0
13/06/01	-3	-1	cosm17	3	2	NA	0	0	0	0	0	0	0	4640.37123	0	0	0	0	0	0	0	2320.185615	0	0	2320.185615	0	0	0	0	2320.185615	2320.185615	0	0	0	0	0	0	0	0	0	2320.185615	0	2320.185615	0	0	0	0	0	0	0	0
13/06/01	-3	-1	cosm18	4	2	NA	2320.185615	0	0	0	0	4640.37123	0	6960.556845	0	0	0	2320.185615	0	0	0	20881.67053	4640.37123	2320.185615	9280.742459	0	0	0	4640.37123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13/06/01	-3	-1	cosm19	2	2	NA	0	0	0	0	0	0	0	0	0	0	0	6960.556845	0	6960.556845	0	39443.15545	2320.185615	2320.185615	13921.11369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2320.185615	0	2320.185615	2320.185615	0	0	0	0	0	0	0
13/06/01	-3	-1	cosm20	1	2	NA	0	0	0	0	0	0	0	0	0	0	0	2320.185615	0	1160.092807	0	13921.11369	0	0	1160.092807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160.092807	0	1160.092807	0	0	0	0	5800.464037	0
20/06/01	2	0	cosm6	3	1	NA	0	0	0	0	0	0	0	0	0	2320.185615	0	4640.37123	0	0	0	23201.85615	2320.185615	4640.37123	13921.11369	0	2320.185615	0	0	2320.185615	0	0	0	2320.185615	9280.742459	0	0	0	0	0	0	0	34802.78422	0	0	0	0	6960.556845	0	0	0
