Week	Treatment	Replicate	EF	Aphanothece sp	Nostoc linckia	Anabaena sphaerica	Phormidium foveolarum	Oscillatoria limnetica	Oscillatoria splendida	Oscillatoria limosa	Oscillatoria redeckei	Osciallatoria sp	Cyclotella comta	Stephanodiscus hantzschii	Tabellaria sp	Fragillaria sp	Synedra acus	Asterionella formosa	Achnanthes sp	Cocconeis sp 	Navicula sp	Gyrosigma attenuatum	Gomphonema sp	Epithemia argus	Nitschia sp	Cymatoplpeura elliptica	Chlorosaccus fluidus	Euglena sp	Trachelomonas volvocina	Cryptomonas sp	Chroomonas sp	Chlamydomonas sp	Volvox sp	Characium sp	Botryococcus braunii	Dictyosphaerium sp.	Schroederia setigera	Oocystis sp	Ankistrodesmus acicularis	Ulothrix zonata	Coleochaete scutata	Oedogonium sp	Rhizoclonium hieroglyphicum	Scenedesmus securiformis	Closterium leibleinii	Closterium pronum	Cosmarium reniforme	Spirogyra sp
-1	1	1	1.776	0	0	0	2139	0	0	0	0	10695	0	0	0	0	0	0	17114	25671	0	0	0	0	2139	0	0	0	0	17114	72734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1	1	2	1.776	0	0	0	0	0	0	0	0	0	0	0	0	0	4009	0	36080	36080	4009	0	4009	0	16036	0	0	4009	0	20044	372826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4009
-1	1	1	1.924	0	0	0	0	0	0	0	0	7581	0	0	0	0	2427	0	20217	53070	0	0	0	0	5054	0	0	0	0	17690	113722	0	0	0	0	0	0	2527	0	0	0	0	0	0	0	0	0	0
-1	1	2	1.924	0	0	0	3408	10225	3408	0	0	0	0	0	0	0	0	0	13633	32378	17041	0	8521	0	0	0	0	0	0	11929	54531	6816	0	1704	0	0	0	0	0	0	0	1704	0	0	0	0	0	5112
-1	1	1	2.664	0	0	1911	1911	0	0	0	0	0	0	0	0	0	5732	0	24838	57318	0	0	3821	0	0	0	0	5732	0	3821	24838	32480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1	1	2	2.664	0	0	0	6823	11371	0	0	0	0	0	0	0	0	0	2274	9097	68228	13646	0	11371	0	0	0	0	0	0	25017	118262	9097	0	0	0	0	0	0	0	0	0	0	0	0	4549	0	0	2274
-1	1	1	2.22	0	0	0	3286	8214	0	0	0	0	0	0	0	0	6572	0	16429	44358	16429	0	0	0	1643	0	0	0	0	23000	42715	3286	0	0	0	0	0	0	0	0	0	0	0	4929	0	0	0	0
-1	1	2	2.22	0	0	0	0	6109	0	0	2036	0	0	0	0	0	0	2036	8145	60544	10181	0	8145	0	0	0	0	2036	0	10181	34616	2036	0	0	0	0	0	0	0	0	0	2036	0	0	0	0	0	18326
-1	1	1	1.184	0	0	0	2980	8941	0	0	0	0	0	0	1490	0	1490	0	11921	41724	19372	0	0	0	0	0	0	0	0	13411	19372	4470	0	4470	0	0	0	0	0	0	0	0	1490	0	0	0	0	0
-1	1	2	1.184	0	0	0	7729	21255	0	0	1932	0	0	0	0	0	0	0	19323	46375	23188	0	1932	1932	0	0	0	1932	0	13526	88886	21255	0	0	0	0	0	3865	0	0	0	3865	0	0	0	0	0	1932
-1	1	1	4.588	0	0	0	2221	19990	0	0	0	0	0	0	0	0	2221	0	15548	27750	17768	0	11106	2221	0	0	0	0	0	0	26654	6663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17769
-1	1	2	4.588	0	0	0	2944	14721	2944	0	0	0	0	0	0	0	0	2944	17665	97157	14721	0	11777	0	0	0	0	0	0	23553	52995	8832	0	0	0	0	0	2944	0	0	0	11777	0	0	17665	0	0	117766
0.1	1	1	1.628	0	0	0	0	0	0	0	0	16081	0	0	0	0	2010	0	20102	43233	6030	0	2010	0	2010	2010	0	0	0	8041	30152	2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	1	2	1.628	0	0	0	1278	0	0	0	0	1278	0	0	0	0	0	0	11499	28109	0	0	5111	0	3833	0	0	0	0	0	43441	5111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	2	1	1.184	0	0	0	2402	1201	0	0	0	1201	0	0	0	0	0	0	7205	34824	7205	0	4803	1201	0	0	0	0	0	1201	12008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	2	2	1.184	0	0	0	3076	7689	1538	0	0	0	0	0	0	0	0	0	16917	36909	6151	0	4614	0	1538	0	0	0	0	7689	30757	3076	0	0	0	0	0	0	0	0	0	1538	0	0	0	0	0	1538
0.1	3	1	2.22	0	0	0	3583	5374	0	0	0	0	0	0	0	0	0	0	19706	50160	5374	0	3583	0	0	1791	0	0	0	23289	35826	5374	0	1791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	3	2	2.22	0	0	0	2444	14665	0	0	0	0	0	0	0	0	0	0	34218	73325	9777	0	0	0	0	0	0	0	0	9777	31774	0	0	0	0	0	0	0	0	0	0	0	0	0	4888	0	0	0
0.1	4	1	1.184	0	0	0	12452	0	0	0	0	0	0	0	0	2075	0	0	14528	47734	8302	0	2075	0	0	2075	0	2075	0	62261	49809	8302	0	4151	0	0	2075	0	0	0	0	0	0	0	0	0	0	0
